# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        5.0525744888938996E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.63982924E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        5.8751387323381065E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.65982999E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        1.0812226054070410E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.67983074E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942       -4.7460903489392610E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.69983149E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -6.0360302751419019E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.71983224E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939       -1.5556612926781974E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.73983299E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        4.4116664514505273E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.75983374E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        6.1613133950611943E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.77983449E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140005        2.0208640661322297E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.79983524E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -4.0512784876462369E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.81983599E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -6.2502547371230274E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.83983674E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -2.4740892324169971E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.85983749E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        3.6670546559307600E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.87983824E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        6.3023344973165162E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.89983899E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        2.9126666195849999E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.91983974E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -3.2612632646649051E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.93984049E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140005       -6.3172508555697061E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.95984124E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -3.3340121391028208E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.97984199E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        2.8362996970061854E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.99984274E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        6.2949208739648115E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.01984349E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140005        3.7356444452454193E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.03984425E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -2.3946719558020899E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.05984500E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002       -6.2354814972082165E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.07984575E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -4.1151979295863622E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.09984650E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        1.9389860399953869E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.11984725E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945        6.1392877457421374E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.13984800E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        4.4704381533348294E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.15984875E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -1.4719305343648528E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.17984950E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -6.0069121789070600E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.19985025E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939       -4.7992738936452093E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.21985100E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        9.9626038006582188E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     5.23985175E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        5.8391396567085282E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.25985250E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        5.0997703263490731E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.27985325E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939       -5.1478133306648921E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     5.29985400E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -5.6369644708735401E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.31985475E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942       -5.3701592491086224E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.33985550E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        3.0332379812701679E-009  -0.0000000000000000       -0.0000000000000000     
# Time =     5.35985625E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939        5.4015819448532373E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.37985700E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        5.6088502120812667E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.39985775E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        4.5423097329372557E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     5.41985850E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -5.1343811191205956E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.43985925E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -5.8144357015394763E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.45986000E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -9.3604947709384339E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     5.47986075E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939        4.8369425550167447E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.49986150E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        5.9857086521628653E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.51986225E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        1.4122791125801322E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.53986300E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -4.5110326061596424E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.55986375E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -6.1216721577557758E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.57986450E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -1.8801177085114258E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.59986525E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        4.1585757515557312E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.61986600E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        6.2215309434315120E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.63986676E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        2.3368096776681342E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.65986751E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -3.7816504019922052E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.67986826E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -6.2846972545577400E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.69986901E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -2.7796633664662685E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.71986976E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939        3.3824807196550744E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.73987051E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        6.3108030564482522E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.75987126E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934        3.2060687752450176E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.77987201E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -2.9634233180365994E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.79987276E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -6.2996987120228097E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.81987351E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -3.6135144396003877E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.83987426E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        2.5269516041729835E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.85987501E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        6.2514555009929546E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.87987576E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        3.9996006177651168E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.89987651E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -2.0756411527257050E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.91987726E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934       -6.1663620270010702E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.93987801E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -4.3620542906868622E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.95987876E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        1.6121546826636050E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.97987951E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        6.0449255597142957E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     5.99988026E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934        4.6987413698538628E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.01988101E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -1.1392266783772410E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.03988176E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139928       -5.8878666455331314E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.05988251E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -5.0076810524708540E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.07988326E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139931        6.5964633637131394E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     6.09988401E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        5.6961163966779336E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.11988476E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934        5.2870548105833134E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.13988551E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -1.7624223634442081E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     6.15988626E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -5.4708096958943765E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.17988701E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139990       -5.5352202280075924E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.19988776E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -3.0813533378106707E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     6.21988852E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139990        5.2132798826911420E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.23988927E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139931        5.7507179490076149E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.25989002E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        7.9063070724925671E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     6.27989077E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934       -4.9250491901945688E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.29989152E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -5.9322823000095546E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.31989227E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -1.2683990702541562E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.33989302E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        4.6078216326319038E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.35989377E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936        6.0788471250958832E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.37989452E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        1.7386245412809500E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.39989527E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -4.2634707963436600E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.41989602E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999       -6.1895534946209612E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.43989677E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -2.1985357719309848E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.45989752E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        3.8940307274888508E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.47989827E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934        6.2637531504997344E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.49989902E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        2.6454226713872862E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.51989977E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -3.5016830200557702E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.53990052E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -6.3010143730754150E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.55990127E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139936       -3.0766523105179089E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.57990202E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139999        3.0887439619720758E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.59990277E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934        6.3011215244589439E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.61990352E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        3.4896845831242000E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.63990427E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139934       -2.6576507225763708E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.65990502E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139990       -6.2640795628448883E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.67990577E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139928       -3.8820865773845217E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.69990652E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996        2.2109476109709254E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.71990727E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139922        6.1901116883276519E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.73990802E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        4.2515484206963109E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.75990877E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139922       -1.7512701684323722E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.77990952E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -6.0796592162449969E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.79991028E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139922       -4.5958939327643785E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.81991103E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        1.2813304460481864E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.83991178E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139919        5.9333779599154078E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.85991253E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        4.9130971804164570E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.87991328E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139925       -8.0390032556862784E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     6.89991403E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139996       -5.7521357556077565E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.91991478E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139931       -5.2012911715829845E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     6.93991553E+02 (a.u.)
